,LBJ_Q,LBJ_Q_filled,LBJ_Q_combined,SSY_meas,SSY_pred_pre,SSY_pred_post,SSY_pred_combined,SSY_combined
2014-07-05,2825.0,2653.233589307574,2825.0,14.563649520228608,12.372560801440605,0.0,12.372560801440605,14.563649520228608
2014-07-06,1144.0000000000002,637.7117673526377,1144.0000000000002,3.4573051838702753,3.46354600475567,0.0,3.46354600475567,3.4573051838702753
2014-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-09,252.0,489.57299990046334,252.0,0.0,0.4112889946680148,0.0,0.4112889946680148,0.4112889946680148
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-27,288.00000000000006,468.70838476635424,288.00000000000006,0.0,0.49639184703462697,0.0,0.49639184703462697,0.49639184703462697
2014-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-29,13071.0,9129.610126935033,13071.0,126.51894102624921,107.02222238233931,0.0,107.02222238233931,126.51894102624921
2014-07-30,5451.000000000001,5222.710943073107,5451.000000000001,0.0,31.225298364748692,0.0,31.225298364748692,31.225298364748692
2014-07-31,7021.0,5634.787091971762,7021.0,0.0,44.59899421097079,0.0,44.59899421097079,44.59899421097079
2014-08-01,560.0,557.3829990863178,560.0,0.0,1.2664052671332264,0.0,1.2664052671332264,1.2664052671332264
2014-08-02,1283.0,1329.671534053959,1283.0,0.0,3.1326494212758464,0.0,3.1326494212758464,3.1326494212758464
2014-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-06,341.0,557.3829990863178,341.0,0.0,0.6297231643509654,0.0,0.6297231643509654,0.6297231643509654
2014-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
