,index,start,end,duration (hrs),sep from
259,259,2015-04-05 01:00:00,2015-04-05 06:00:00,5.0,LBJ PT
260,260,2015-04-07 00:00:00,2015-04-07 06:15:00,6.25,LBJ PT
261,261,2015-04-11 01:45:00,2015-04-11 06:00:00,4.25,LBJ PT
262,262,2015-04-13 16:15:00,2015-04-14 01:00:00,8.75,LBJ PT
263,263,2015-04-14 04:15:00,2015-04-14 14:30:00,10.25,LBJ PT
264,264,2015-04-18 10:45:00,2015-04-19 07:30:00,20.75,LBJ PT
265,265,2015-04-22 05:45:00,2015-04-22 13:00:00,7.25,LBJ PT
266,266,2015-04-22 15:45:00,2015-04-24 02:30:00,34.75,LBJ PT
267,267,2015-04-24 07:30:00,2015-04-24 11:45:00,4.25,LBJ PT
268,268,2015-04-24 12:15:00,2015-04-24 17:15:00,5.0,LBJ PT
269,269,2015-04-25 17:00:00,2015-04-26 01:45:00,8.75,LBJ PT
